21350	卦
21351	卧
21353	卩
21355	卫
21356	卬
21358	卮
21359	卯
21360	印
21361	危
21363	即
21364	却
21365	卵
21367	卷
21368	卸
21369	卹
21370	卺
21371	卻
21375	卿
21378	厂
21379	厃
21380	厄
21381	厅
21382	历
21385	厉
21387	压
21388	厌
21389	厍
21395	厓
21397	厕
21399	厗
21400	厘
21402	厚
21405	厝
21407	原
21410	厢
21411	厣
21412	厤
21413	厥
21414	厦
21416	厨
21417	厩
21418	厪
21421	厭
21422	厮
21426	厲
21430	厶
21431	厷
21433	厹
21435	去
21437	厽
21439	县
21440	叀
21441	叁
21442	参
21443	參
21448	又
21449	叉
21450	及
21451	友
21452	双
21453	反
21457	发
21458	叒
21460	叔
21461	叕
21462	取
21463	受
21464	变
21465	叙
21466	叚
21467	叛
21471	叟
21472	叠
21474	叢
21475	口
21476	古
21477	句
21478	另
21480	叨
21481	叩
21482	只
21483	叫
21484	召
21485	叭
21486	叮
21487	可
21488	台
21489	叱
21490	史
21491	右
21493	叵
21494	叶
21495	号
21496	司
21497	叹
21499	叻
21500	叼
21501	叽
21505	吁
21506	吂
21507	吃
21508	各
21510	吆
21512	合
21513	吉
21514	吊
21515	吋
21516	同
21517	名
21518	后
21519	吏
21520	吐
21521	向
21522	吒
21523	吓
21525	吕
21526	吖
21527	吗
21531	君
21533	吝
21534	吞
21535	吟
21536	吠
21537	吡
21539	吣
21542	否
21543	吧
21544	吨
21545	吩
21547	含
21548	听
21549	吭
21550	吮
21551	启
21553	吱
21554	吲
21555	吳
21556	吴
21557	吵
21558	吶
21560	吸
21561	吹
21563	吻
21564	吼
21566	吾
21568	呀
21570	呂
21571	呃
21574	呆
21576	呈
21578	告
21579	呋
21582	呎
21584	呐
21585	呑
21586	呒
21587	呓
21588	呔
21589	呕
21590	呖
21591	呗
21592	员
21593	呙
21595	呛
21596	呜
21602	呢
21603	呣
21604	呤
21606	呦
21608	周
21611	呫
21617	呱
21618	呲
21619	味
21621	呵
21622	呶
21623	呷
21624	呸
21627	呻
21628	呼
21629	命
21632	咀
21634	咂
21636	咄
21637	咅
21638	咆
21643	咋
21644	和
21646	咎
21647	咏
21648	咐
21649	咑
21650	咒
21652	咔
21653	咕
21654	咖
21657	咙
21658	咚
21659	咛
21661	咝
21664	咠
21666	咢
21667	咣
21668	咤
21669	咥
21670	咦
21671	咧
21672	咨
21673	咩
21674	咪
21675	咫
21676	咬
21677	咭
21679	咯
21681	咱
21683	咳
21684	咴
21688	咸
21691	咻
21692	咼
21693	咽
21694	咾
21695	咿
21696	哀
21697	品
21698	哂
21700	哄
21702	哆
21703	哇
21704	哈
21705	哉
21708	哌
21709	响
21710	哎
21711	哏
21712	哐
21713	哑
21714	哒
21715	哓
21716	哔
21717	哕
21719	哗
21721	哙
21722	哚
21724	哜
21725	哝
21726	哞
21727	哟
21729	員
21733	哥
21734	哦
21735	哧
21736	哨
21737	哩
21738	哪
21741	哭
21742	哮
21745	哱
21746	哲
21747	哳
21754	哺
21756	哼
21757	哽
21759	哿
21761	唁
21764	唄
21765	唅
21766	唆
21767	唇
21769	唉
21774	唎
21775	唏
21776	唐
21777	唑
21780	唔
21786	唚
21787	唛
21789	唝
21792	唠
21794	唢
21795	唣
21796	唤
21799	唧
21802	唪
21803	唫
21804	唬
21806	售
21807	唯
21808	唰
21809	唱
21811	唳
21813	唵
21815	唷
21816	唸
21820	唼
21822	唾
21823	唿
21825	啁
21827	啃
21828	啄
21830	商
21831	啇
21833	啉
21834	啊
21839	問
21840	啐
21843	啓
21845	啕
21846	啖
21850	啚
21852	啜
21854	啞
21855	啟
21857	啡
21860	啤
21861	啥
21862	啦
21863	啧
21866	啪
21867	啫
21868	啬
21869	啭
21870	啮
21872	啰
21876	啴
21877	啵
21878	啶
21879	啷
21880	啸
21883	啻
21884	啼
21886	啾
21888	喀
21889	喁
21890	喂
21891	喃
21892	善
21894	喆
21895	喇
21896	喈
21897	喉
21898	喊
21899	喋
21903	喏
21905	喑
21908	喔
21912	喘
21913	喙
21914	喚
21916	喜
21917	喝
21919	喟
21927	喧
21928	喨
21930	喪
21932	喬
21934	單
21937	喱
21938	喲
21939	喳
21941	喵
21943	喷
21945	喹
21947	喻
21948	喼
21949	喽
21950	喾
21951	喿
21956	嗄
21957	嗅
21958	嗆
21959	嗇
21961	嗉
21962	嗊
21964	嗌
21965	嗍
21966	嗎
21968	嗐
21969	嗑
21970	嗒
21971	嗓
21972	嗔
21974	嗖
21978	嗚
21980	嗜
21981	嗝
21983	嗟
21985	嗡
21987	嗣
21988	嗤
21989	嗥
21990	嗦
21992	嗨
21993	嗩
21994	嗪
21995	嗫
21996	嗬
21999	嗯
22002	嗲
22003	嗳
22005	嗵
22006	嗶
22007	嗷
22013	嗽
22014	嗾
22016	嘀
22017	嘁
22021	嘅
22022	嘆
22024	嘈
22025	嘉
22028	嘌
22029	嘍
22030	嘎
22031	嘏
22036	嘔
22038	嘖
22039	嘗
22040	嘘
22042	嘚
22043	嘛
22044	嘜
22046	嘞
22047	嘟
22050	嘢
22051	嘣
22052	嘤
22055	嘧
22057	嘩
22060	嘬
22061	嘭
22062	嘮
22063	嘯
22064	嘰
22065	嘱
22066	嘲
22068	嘴
22070	嘶
22072	嘸
22073	嘹
22075	嘻
22076	嘼
22077	嘽
22079	嘿
22081	噁
22092	噌
22093	噍
22094	噎
22099	噓
22100	噔
22103	噗
22104	噘
22105	噙
22108	噜
22112	噠
22114	噢
22116	噤
22117	噥
22118	噦
22120	器
22121	噩
22122	噪
22123	噫
22124	噬
22127	噯
22129	噱
22130	噲
22132	噴
22134	噶
22136	噸
22137	噹
22139	噻
22140	噼
22144	嚀
22148	嚄
22149	嚅
22150	嚆
22151	嚇
22158	嚎
22159	嚏
22163	嚓
22165	嚕
22169	嚙
22179	嚣
22181	嚥
22184	嚨
22190	嚮
22191	嚯
22195	嚳
22196	嚴
22199	嚷
22204	嚼
22208	囀
22210	囂
22216	囈
22217	囉
22218	囊
22220	囌
22225	囑
22228	囔
22231	囗
22234	囚
22235	四
22237	囝
22238	回
22239	囟
22240	因
22241	囡
22242	团
22244	囤
22250	囪
22251	囫
22253	园
22256	困
22257	囱
22260	围
22261	囵
22263	囷
22265	囹
22266	固
22269	国
22270	图
22271	囿
22274	圂
22275	圃
22276	圄
22278	圆
22279	圇
22280	圈
22281	圉
22282	圊
22283	國
22285	圍
22290	園
22291	圓
22294	圖
22296	團
22297	圙
22300	圜
22303	土
22307	圣
22308	圤
22312	在
22313	圩
22314	圪
22316	圬
22317	圭
22318	圮
22319	圯
22320	地
22323	圳
22329	圹
22330	场
22331	圻
22332	圼
22334	圾
22336	址
22338	坂
22343	均
22346	坊
22348	坌
22349	坍
22350	坎
22351	坏
22352	坐
22353	坑
22354	坒
22359	块
22362	坚
22363	坛
22364	坜
22365	坝
22366	坞
22367	坟
22368	坠
22369	坡
22372	坤
22374	坦
22376	坨
22377	坩
22378	坪
22379	坫
22381	坭
22383	坯
22387	坳
22388	坴
22390	坶
22391	坷
22395	坻
22396	坼
22402	垂
22403	垃
22404	垄
22405	垅
22406	垆
22411	型
22412	垌
22418	垒
22419	垓
22420	垔
22426	垚
22427	垛
22432	垠
22433	垡
22434	垢
22435	垣
22436	垤
22438	垦
22439	垧
22441	垩
22443	垫
22445	垭
22446	垮
22447	垯
22450	垲
22452	垴
22456	垸
22466	埂
22467	埃
22468	埄
22471	埇
22475	埋
22478	城
22479	埏
22482	埒
22484	埔
22485	埕
22487	埗
22488	埘
22489	埙
22490	埚
22493	埝
22495	域
22496	埠
22497	埡
22500	埤
22509	埭
22511	埯
22514	埲
22516	埴
22517	埵
22518	埶
22519	執
22520	埸
22521	培
22522	基
22524	埼
22525	埽
22528	堀
22530	堂
22531	堃
22533	堅
22534	堆
22535	堇
22538	堊
22539	堋
22541	堍
22545	堑
22549	堕
22553	堙
22558	堞
22560	堠
22561	堡
22564	堤
22570	堪
22575	堯
22576	堰
22577	報
22580	場
22581	堵
22591	堿
22596	塄
22602	塊
22603	塋
22604	塌
22605	塍
22609	塑
22612	塔
22613	塕
22615	塗
22616	塘
22618	塚
22622	塞
22626	塢
22629	塥
22635	填
22636	塬
22642	塲
22645	塵
22649	塹
22654	塾
22656	墀
22657	墁
22659	境
22661	墅
22665	墉
22666	墊
22674	墒
22675	墓
22681	墙
22682	墚
22684	墜
22686	增
22687	墟
22696	墨
22697	墩
22702	墮
22707	墳
22715	墻
22716	墼
22718	墾
22721	壁
22725	壅
22727	壇
22737	壑
22739	壓
22741	壕
22744	壘
22750	壞
22751	壟
22754	壢
22756	壤
22761	壩
22763	士
22764	壬
22766	壮
22767	壯
22768	声
22771	壳
22772	壴
22774	壶
22777	壹
22778	壺
22781	壽
22786	夂
22787	夃
22788	处
22789	夅
22790	夆
22791	备
22794	夊
22795	夋
22796	夌
22797	复
22799	夏
22804	夔
22805	夕
22806	外
22807	夗
22809	夙
22810	多
22812	夜
22815	够
22816	夠
22818	夢
22820	夤
22821	夥
22823	大
22825	天
22826	太
22827	夫
22828	夬
22829	夭
22830	央
22831	夯
22833	失
22834	夲
22836	头
22839	夷
22840	夸
22841	夹
22842	夺
22844	夼
22846	夾
22849	奁
22850	奂
22852	奄
22855	奇
22856	奈
22857	奉
22859	奋
22862	奎
22863	奏
22864	奐
22865	契
22867	奓
22868	奔
22869	奕
22870	奖
22871	套
22872	奘
22874	奚
22880	奠
22882	奢
22885	奥
22887	奧
22889	奩
22890	奪
22893	奭
22894	奮
22899	女
22900	奴
22902	奶
22904	奸
22905	她
22908	奼
22909	好
22913	妁
22914	如
22915	妃
22916	妄
22918	妆
22919	妇
22920	妈
22922	妊
22925	妍
22930	妒
22931	妓
22934	妖
22935	妗
22937	妙
22941	妝
22942	妞
22943	妟
22947	妣
22948	妤
22949	妥
22952	妨
22953	妩
22954	妪
22955	妫
22958	妮
22959	妯
22962	妲
22963	妳
22969	妹
22971	妻
22974	妾
22982	姆
22986	姊
22987	始
22992	姐
22993	姑
22994	姒
22995	姓
22996	委
22999	姗
23000	姘
23002	姚
23004	姜
23005	姝
23011	姣
23013	姥
23014	姦
23016	姨
23018	姪
23019	姫
23020	姬
23022	姮
23033	姹
23035	姻
23039	姿
23041	威
23043	娃
23044	娄
23045	娅
23046	娆
23047	娇
23048	娈
23049	娉
23052	娌
23057	娑
23059	娓
23064	娘
23067	娛
23068	娜
23071	娟
23072	娠
23075	娣
23077	娥
23081	娩
23085	娭
23089	娱
23090	娲
23092	娴
23094	娶
23100	娼
23104	婀
23105	婁
23110	婆
23113	婉
23114	婊
23125	婕
23130	婚
23138	婢
23142	婦
23143	婧
23146	婪
23149	婭
23156	婴
23157	婵
23158	婶
23159	婷
23162	婺
23167	婿
23186	媒
23189	媕
23194	媚
23195	媛
23200	媠
23207	媧
23210	媪
23218	媲
23219	媳
23221	媵
23223	媷
23224	媸
23229	媽
23230	媾
23233	嫁
23234	嫂
23241	嫉
23244	嫌
23250	嫒
23252	嫔
23254	嫖
23255	嫗
23256	嫘
23258	嫚
23260	嫜
23264	嫠
23265	嫡
